time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,density,speed,temperature
2026-02-12 22:12:00,3.95,1.50,-4.61,20.75,-47.46,6.27,3.30,406.5,106636
2026-02-12 22:13:00,4.23,1.02,-4.54,13.60,-46.19,6.30,2.54,393.2,52473
2026-02-12 22:14:00,4.60,0.06,-4.00,0.73,-41.03,6.27,2.18,397.0,52182
2026-02-12 22:15:00,5.51,-1.48,-3.08,344.97,-28.40,6.49,1.93,406.7,60453
2026-02-12 22:16:00,5.64,-1.49,-2.91,345.20,-26.47,6.54,1.82,405.6,59336
2026-02-12 22:17:00,5.44,-0.79,-3.24,351.70,-30.54,6.40,1.60,400.2,53749
2026-02-12 22:18:00,5.39,-0.64,-3.49,353.19,-32.70,6.46,1.86,400.3,66561
2026-02-12 22:19:00,5.36,-3.22,-1.63,329.03,-14.61,6.60,2.26,401.2,64936
2026-02-12 22:20:00,5.56,-3.21,-2.16,330.01,-18.58,6.78,2.06,399.2,67728
2026-02-12 22:21:00,5.37,-3.32,-2.22,328.24,-19.40,6.70,2.57,403.6,74379
2026-02-12 22:22:00,5.37,-3.40,-1.94,327.65,-16.98,6.67,2.32,399.3,65750
2026-02-12 22:23:00,5.70,-2.95,-2.27,332.65,-19.51,6.82,2.12,400.4,71642
2026-02-12 22:24:00,5.52,-3.52,-2.36,327.45,-19.82,7.00,2.53,399.5,70833
2026-02-12 22:25:00,5.89,-3.42,-3.09,329.88,-24.42,7.50,3.17,402.8,85196
2026-02-12 22:26:00,5.97,-2.46,-4.20,337.60,-33.03,7.76,3.58,400.8,92284
2026-02-12 22:27:00,6.21,-2.40,-4.71,338.88,-35.28,8.22,4.22,399.0,86572
2026-02-12 22:28:00,6.00,-1.98,-6.16,341.78,-44.26,8.88,6.43,409.0,103872
2026-02-12 22:29:00,5.12,-1.21,-7.16,346.72,-53.67,8.88,7.06,416.1,105017
2026-02-12 22:30:00,4.81,0.62,-7.44,7.41,-56.91,8.93,7.44,417.0,100949
2026-02-12 22:31:00,4.81,0.17,-7.24,2.00,-56.39,8.80,8.96,416.8,124962
2026-02-12 22:32:00,6.42,-2.70,-5.56,337.19,-38.60,8.92,5.83,408.6,104701
2026-02-12 22:33:00,6.37,-2.21,-5.95,340.87,-41.42,9.01,5.97,408.8,106100
2026-02-12 22:34:00,6.55,-2.68,-5.69,337.73,-38.82,9.10,5.57,407.1,110540
2026-02-12 22:35:00,6.44,-3.99,-4.64,328.25,-31.47,8.97,5.67,404.4,104874
2026-02-12 22:36:00,5.76,-2.88,-5.54,333.44,-40.72,8.65,6.12,407.4,99992
2026-02-12 22:37:00,4.74,-0.54,-6.62,353.47,-54.27,8.55,6.82,410.4,98634
2026-02-12 22:38:00,5.18,-1.80,-6.37,340.85,-49.30,8.44,6.51,407.0,91130
2026-02-12 22:39:00,4.68,-0.88,-6.83,349.38,-55.13,8.34,6.57,409.7,91084
2026-02-12 22:40:00,4.34,-0.55,-6.96,352.72,-57.87,8.27,7.85,413.6,102615
2026-02-12 22:41:00,4.60,2.22,-6.45,25.74,-51.62,8.26,8.06,411.1,118508
2026-02-12 22:42:00,5.22,0.12,-6.37,1.37,-50.67,8.30,6.17,407.8,97443
