time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,density,speed,temperature
2026-01-26 04:43:00,-3.85,3.23,2.68,139.99,28.03,5.70,5.57,496.6,204185
2026-01-26 04:44:00,-3.43,3.32,2.96,135.93,31.85,5.63,5.60,496.9,194944
2026-01-26 04:45:00,-3.80,2.94,2.83,142.31,30.47,5.60,5.68,496.0,202868
2026-01-26 04:46:00,-4.55,2.15,2.05,154.64,22.12,5.50,5.59,494.1,220363
2026-01-26 04:47:00,-4.39,2.75,0.62,147.95,6.80,5.52,5.56,494.3,215356
2026-01-26 04:48:00,-3.08,3.58,2.96,130.73,32.12,5.60,5.71,497.9,191946
2026-01-26 04:49:00,-2.67,4.70,1.75,119.61,17.91,5.77,5.51,501.6,176702
2026-01-26 04:50:00,-2.35,4.80,1.86,116.07,19.19,5.72,6.08,507.8,185365
2026-01-26 04:51:00,-2.34,5.12,0.48,114.55,4.84,5.69,6.21,506.7,216865
2026-01-26 04:52:00,-2.04,5.05,0.98,112.03,10.16,5.63,6.79,510.7,246618
2026-01-26 04:53:00,-2.38,5.02,0.80,115.39,8.22,5.63,6.16,502.5,198757
2026-01-26 04:54:00,-2.78,4.65,0.64,120.84,6.77,5.56,5.69,503.2,186981
2026-01-26 04:55:00,-3.21,4.34,0.20,126.51,2.16,5.54,5.67,498.6,196054
2026-01-26 04:56:00,-3.50,3.81,2.10,132.52,22.08,5.62,5.45,500.7,190836
2026-01-26 04:57:00,-2.87,4.72,1.31,121.27,13.31,5.71,5.41,501.4,179918
2026-01-26 04:58:00,-2.46,5.24,0.01,115.13,0.13,5.80,5.32,502.6,171120
2026-01-26 04:59:00,-1.89,5.40,-0.80,109.35,-8.01,5.80,7.40,519.1,273190
2026-01-26 05:00:00,-1.49,5.46,-1.03,105.22,-10.35,5.76,7.28,520.0,262415
2026-01-26 05:01:00,-1.39,5.27,-0.95,104.81,-9.88,5.60,7.35,521.6,263258
2026-01-26 05:02:00,-1.81,5.09,-0.24,109.54,-2.53,5.74,5.37,512.5,188234
2026-01-26 05:03:00,-2.90,4.96,1.46,120.30,14.25,5.93,5.17,503.2,167256
2026-01-26 05:04:00,-3.63,4.26,1.60,130.45,15.92,5.89,5.23,497.4,207830
2026-01-26 05:05:00,-4.10,4.20,0.95,134.32,9.17,5.96,5.35,499.1,206548
2026-01-26 05:06:00,-4.20,4.08,0.91,135.85,8.80,5.93,5.13,496.7,202787
2026-01-26 05:07:00,-4.12,4.12,0.93,135.03,9.09,5.91,5.08,496.9,199682
2026-01-26 05:08:00,-4.06,4.30,0.81,133.38,7.76,5.97,5.13,497.7,198629
2026-01-26 05:09:00,-4.05,4.28,0.54,133.44,5.22,5.93,5.09,496.8,202999
2026-01-26 05:10:00,-3.94,4.44,0.11,131.56,1.06,5.93,5.15,497.1,199815
2026-01-26 05:11:00,-3.64,4.66,-0.23,127.97,-2.19,5.93,5.22,498.9,185824
2026-01-26 05:12:00,-3.56,4.67,-0.35,127.32,-3.38,5.89,5.25,498.8,189696
2026-01-26 05:13:00,-2.94,5.12,0.14,119.86,1.40,5.91,5.18,500.7,171159
2026-01-26 05:14:00,-1.93,5.45,0.94,109.46,9.23,5.87,6.82,513.1,217252
2026-01-26 05:15:00,-2.38,5.39,0.41,113.79,3.95,5.90,7.09,517.5,280378
2026-01-26 05:16:00,-2.38,5.26,0.57,114.33,5.60,5.84,7.12,511.9,247379
2026-01-26 05:17:00,-2.36,5.11,0.28,114.81,2.80,5.79,5.62,502.3,181984
2026-01-26 05:18:00,-1.90,5.42,0.91,109.38,8.97,5.82,5.26,505.4,166317
2026-01-26 05:19:00,-1.87,5.57,0.48,108.52,4.66,5.94,5.15,509.6,169923
2026-01-26 05:20:00,-2.30,5.52,-0.02,112.63,-0.17,6.01,5.08,503.9,172303
2026-01-26 05:21:00,-2.29,5.51,0.12,112.60,1.11,5.96,4.98,505.8,167086
2026-01-26 05:22:00,-1.75,5.47,-0.07,107.72,-0.73,5.74,7.43,516.3,286629
2026-01-26 05:23:00,-2.00,5.49,-0.34,110.04,-3.33,5.89,6.42,511.4,228520
2026-01-26 05:24:00,-1.67,5.56,-0.86,106.69,-8.41,5.89,6.92,517.6,261474
2026-01-26 05:25:00,-1.37,5.65,-0.88,103.63,-8.63,5.89,7.42,519.3,268057
2026-01-26 05:26:00,-2.61,4.87,1.97,118.19,19.63,5.90,5.39,505.1,183666
2026-01-26 05:27:00,-2.88,4.84,1.31,120.78,13.08,5.91,6.39,510.9,248518
2026-01-26 05:28:00,-3.08,4.89,-0.92,122.17,-8.99,5.94,5.15,501.4,177433
