time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,density,speed,temperature
2026-02-03 04:50:00,2.00,-4.59,-1.06,293.59,-12.00,5.12,30.35,368.9,1360187
2026-02-03 04:51:00,1.71,-4.71,-1.30,289.94,-14.57,5.20,31.76,368.9,1366570
2026-02-03 04:52:00,1.66,-4.71,-1.35,289.43,-15.08,5.18,31.87,369.1,1364135
2026-02-03 04:53:00,1.56,-4.69,-1.31,288.45,-14.86,5.11,31.94,368.5,1355401
2026-02-03 04:54:00,1.44,-4.72,-1.43,286.98,-16.12,5.14,31.94,368.5,1357487
2026-02-03 04:55:00,1.30,-4.66,-1.51,285.63,-17.34,5.07,31.85,368.1,1351858
2026-02-03 04:56:00,1.31,-4.69,-1.59,285.60,-18.08,5.12,31.65,368.1,1356597
2026-02-03 04:57:00,1.44,-4.57,-1.63,287.46,-18.74,5.06,32.28,367.7,1347662
2026-02-03 04:58:00,1.59,-4.53,-1.77,289.30,-20.29,5.12,31.73,368.2,1354296
2026-02-03 04:59:00,1.68,-4.47,-1.70,290.62,-19.54,5.08,32.21,368.7,1360859
2026-02-03 05:00:00,2.06,-4.32,-1.68,295.47,-19.36,5.08,31.27,367.8,1372099
2026-02-03 05:01:00,2.00,-4.36,-1.67,294.66,-19.22,5.08,31.59,368.6,1372620
2026-02-03 05:02:00,1.89,-4.34,-1.73,293.51,-20.12,5.08,31.79,368.1,1356457
2026-02-03 05:03:00,3.18,-2.13,-3.51,326.17,-42.51,5.20,30.87,370.1,1366897
2026-02-03 05:04:00,3.04,-1.99,-3.35,326.69,-42.70,4.99,31.27,369.5,1363695
2026-02-03 05:05:00,2.40,-3.16,-2.87,307.16,-35.91,4.91,31.56,368.1,1371810
2026-02-03 05:06:00,2.40,-3.49,-2.40,304.59,-29.58,4.94,31.18,368.0,1366297
2026-02-03 05:07:00,2.67,-3.57,-2.04,306.74,-24.57,4.93,31.58,368.1,1359498
2026-02-03 05:08:00,3.27,-1.67,-3.31,332.94,-42.02,5.02,30.72,369.4,1354824
2026-02-03 05:09:00,2.11,-4.10,-1.82,297.23,-21.52,4.96,30.92,369.2,1343296
2026-02-03 05:10:00,2.09,-4.09,-1.79,297.06,-21.27,4.96,31.70,369.7,1340372
2026-02-03 05:11:00,2.87,-2.75,-2.58,316.29,-33.04,4.77,30.33,368.4,1325477
2026-02-03 05:12:00,2.82,-2.78,-2.51,315.46,-32.41,4.70,29.96,366.7,1317924
2026-02-03 05:13:00,2.72,-3.11,-2.55,311.15,-31.66,4.84,30.48,367.4,1332821
2026-02-03 05:14:00,2.44,-3.33,-2.77,306.29,-33.87,4.98,29.85,368.5,1336645
2026-02-03 05:15:00,2.49,-3.15,-2.77,308.34,-34.63,4.88,30.60,367.4,1334377
2026-02-03 05:16:00,2.51,-2.91,-2.99,310.75,-37.91,4.87,31.04,366.9,1332677
2026-02-03 05:17:00,2.78,-2.67,-2.95,316.22,-37.44,4.86,29.64,367.2,1323468
2026-02-03 05:18:00,2.87,-2.37,-3.04,320.47,-39.27,4.81,30.22,367.7,1323965
2026-02-03 05:19:00,2.95,-2.26,-3.11,322.53,-39.97,4.85,30.27,367.8,1327364
2026-02-03 05:20:00,2.97,-2.23,-3.11,323.12,-39.98,4.85,30.21,367.8,1321750
2026-02-03 05:21:00,3.03,-2.08,-3.18,325.61,-40.85,4.86,29.98,367.1,1320639
2026-02-03 05:22:00,3.00,-1.99,-3.22,326.45,-41.78,4.84,30.14,368.0,1325600
2026-02-03 05:23:00,3.05,-1.85,-3.31,328.81,-42.86,4.87,30.07,367.9,1325480
2026-02-03 05:24:00,3.16,-1.94,-3.17,328.42,-40.51,4.88,30.09,367.8,1329737
2026-02-03 05:25:00,3.11,-2.10,-3.19,326.01,-40.34,4.93,29.79,367.7,1333454
2026-02-03 05:26:00,3.35,-2.11,-3.16,327.75,-38.54,5.06,29.87,368.7,1341616
2026-02-03 05:27:00,3.21,-2.04,-3.33,327.56,-41.18,5.06,30.49,368.2,1344030
2026-02-03 05:28:00,2.98,-1.86,-3.40,328.07,-44.04,4.90,29.73,367.2,1327046
2026-02-03 05:29:00,3.17,-1.94,-3.30,328.49,-41.64,4.97,30.68,367.9,1334665
2026-02-03 05:30:00,3.38,-1.99,-3.27,329.46,-39.84,5.11,28.88,367.4,1331902
2026-02-03 05:31:00,3.54,-1.96,-3.18,331.02,-38.20,5.14,30.56,367.9,1339433
2026-02-03 05:32:00,3.45,-1.84,-3.39,331.86,-40.89,5.17,29.45,368.0,1345689
2026-02-03 05:33:00,2.85,-1.77,-3.71,328.19,-47.86,5.00,29.82,366.8,1341504
2026-02-03 05:34:00,3.55,-2.00,-3.45,330.56,-40.25,5.35,29.06,368.7,1353497
2026-02-03 05:35:00,3.76,-1.95,-3.40,332.55,-38.73,5.43,29.61,368.6,1347961
2026-02-03 05:36:00,3.83,-1.91,-3.25,333.51,-37.17,5.37,29.22,368.7,1347490
2026-02-03 05:37:00,3.95,-1.82,-3.22,335.23,-36.50,5.41,29.64,369.1,1348419
2026-02-03 05:38:00,3.88,-1.92,-3.20,333.71,-36.48,5.39,29.05,368.8,1345798
2026-02-03 05:39:00,3.85,-1.97,-3.22,332.90,-36.66,5.40,29.46,368.7,1346608
2026-02-03 05:40:00,3.76,-2.00,-3.30,331.99,-37.82,5.39,30.24,368.3,1344996
2026-02-03 05:41:00,3.78,-2.05,-3.29,331.47,-37.46,5.42,29.76,368.2,1347602
2026-02-03 05:42:00,3.74,-1.98,-3.27,332.04,-37.71,5.35,29.25,368.3,1345251
2026-02-03 05:43:00,3.75,-2.09,-3.28,330.95,-37.39,5.41,30.32,368.4,1346473
2026-02-03 05:44:00,3.62,-2.13,-3.39,329.60,-38.88,5.40,31.25,368.3,1345968
2026-02-03 05:45:00,3.57,-2.03,-3.50,330.37,-40.44,5.40,30.44,368.6,1346269
2026-02-03 05:46:00,3.24,-1.37,-3.93,337.09,-48.14,5.32,30.54,367.5,1346617
2026-02-03 05:47:00,3.22,-1.14,-4.05,340.43,-49.84,5.30,30.88,368.0,1346703
2026-02-03 05:48:00,3.11,-1.01,-4.24,341.97,-52.40,5.36,31.53,368.2,1337990
2026-02-03 05:49:00,3.09,-1.05,-4.26,341.23,-52.51,5.36,31.46,368.4,1345040
2026-02-03 05:50:00,3.12,-1.07,-4.28,341.04,-52.39,5.41,31.73,368.6,1346919
