time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,density,speed,temperature
2026-01-25 09:08:00,-3.64,3.88,0.20,133.14,2.11,5.39,1.40,559.3,114952
2026-01-25 09:09:00,-2.03,4.50,1.71,114.23,19.12,5.36,2.69,605.6,175265
2026-01-25 09:10:00,-1.31,4.14,-2.16,107.57,-26.39,5.38,2.94,586.8,137288
2026-01-25 09:11:00,-2.53,3.95,1.18,122.60,14.12,5.17,3.14,618.0,204818
2026-01-25 09:12:00,-3.10,3.82,0.75,129.08,8.71,5.12,2.96,597.0,162589
2026-01-25 09:13:00,-2.65,3.69,2.14,125.70,25.19,5.12,2.05,580.2,118485
2026-01-25 09:14:00,-3.73,3.85,-0.26,134.09,-2.74,5.40,1.16,588.9,151219
2026-01-25 09:15:00,-2.22,2.86,1.16,127.75,17.69,5.26,1.34,585.4,296000
2026-01-25 09:16:00,-1.32,3.65,3.32,109.90,40.55,5.14,1.82,563.3,197891
2026-01-25 09:17:00,-2.21,3.84,2.47,119.93,29.14,5.13,2.30,560.1,124069
2026-01-25 09:18:00,-2.36,3.88,2.47,121.34,28.51,5.18,2.55,568.4,139057
2026-01-25 09:19:00,-2.73,4.23,1.18,122.80,13.19,5.31,2.28,566.2,103886
2026-01-25 09:20:00,-3.23,4.27,-0.60,127.11,-6.42,5.43,1.86,562.3,77573
2026-01-25 09:21:00,-3.37,3.97,-1.22,130.33,-13.16,5.43,2.57,578.7,129815
2026-01-25 13:42:00,-5.02,0.53,-2.18,174.01,-23.34,5.51,1.19,527.6,190112
2026-01-25 13:43:00,-4.68,1.01,-2.46,167.78,-27.20,5.41,0.97,511.9,158640
2026-01-25 13:44:00,-4.17,1.50,-3.03,160.23,-34.37,5.41,1.24,533.2,298089
2026-01-25 13:45:00,-4.81,0.74,-2.56,171.22,-27.73,5.53,1.28,536.6,319888
2026-01-25 13:47:00,-5.21,0.59,-1.98,173.55,-20.69,5.61,0.54,512.8,74466
2026-01-25 13:48:00,-5.21,0.69,-2.04,172.43,-21.24,5.66,0.94,542.1,202578
2026-01-25 13:49:00,-5.14,0.93,-2.25,169.77,-23.28,5.69,1.21,563.3,299817
2026-01-25 13:50:00,-5.13,1.11,-2.26,167.79,-23.27,5.71,0.88,541.3,255696
2026-01-25 13:51:00,-4.99,1.57,-2.27,162.56,-23.42,5.72,0.81,526.9,198145
2026-01-25 13:52:00,-3.57,0.68,-2.38,169.27,-33.25,4.33,1.16,541.2,205739
2026-01-25 13:53:00,-3.88,0.89,-2.43,167.04,-31.35,4.72,0.93,528.6,191625
